Distance,X axis,Y axis,Z axis,Magnitude,Time,
2 cm,1108.6499999999999,106.8,-3755.7,3917.370744836388,20.28437852859497,
4 cm,102.89999999999999,-32.699999999999996,-718.1999999999999,726.2705694161094,28.327624797821045,
6 cm,41.25,-33.75,-273.45,278.5956343879064,35.997894525527954,
8 cm,38.85,-33.75,-136.35,145.73849011156935,45.09023189544678,
10 cm,40.35,-34.65,-81.45,97.27716844152074,55.36815571784973,
12 cm,42.449999999999996,-32.55,-57.0,78.16971920123545,63.45376801490784,
14 cm,43.05,-34.199999999999996,-44.4,70.67037922637743,73.06216239929199,
16 cm,42.15,-35.4,-35.25,65.36317770732998,80.44770789146423,
18 cm,41.1,-34.35,-31.5,62.140023334401796,88.07102966308594,
20 cm,43.8,-34.35,-26.7,61.73534238991471,93.91719651222229,

