Time t (seconds)  x(t)       y(t)           z(t)
1.00              99.580091  26.849072      52.290046
1.25              75.244010  29.784244      85.903129
1.50              61.259066  38.304693      137.302371
1.75              54.798934  55.316876      217.261562
2.00              40.368792  51.716174      262.317186
2.25              41.231773  89.559634      414.264128
2.50              34.297112  100.546750     508.868521
2.75              29.920787  120.559190     631.646335
3.00              25.380796  133.479910     739.305415
3.25              22.636484  160.722379     886.640204
3.50              22.766097  244.419224     1173.033323
3.75              20.432565  291.113992     1358.965991
4.00              18.166858  335.863821     1534.163987
4.25              18.998615  530.213843     2007.848770
4.50              16.633336  586.824458     2171.879256
4.75              15.156961  694.658089     2417.399825
5.00              14.466585  896.568555     2789.491585
5.25              14.226078  1218.801848    3285.826474
5.50              14.024544  1651.001045    3847.695475
5.75              11.682656  1602.166096    3778.179775
6.00              12.287557  2457.552859    4651.522911
6.25              11.393086  2924.115143    5016.114717
6.50              9.699583   2894.171923    4937.447576
6.75              9.387827   3725.687534    5494.890316
7.00              9.815907   5598.456245    6572.992942
7.25              9.837971   7638.349640    7501.121120
7.50              8.655203   8050.258793    7481.246376
7.75              8.912291   11557.266415   8697.124077
8.00              8.450965   14057.094274   9274.899978
8.25              8.014863   17056.420719   9857.021319
8.50              8.089516   23314.387847   11110.729026
8.75              8.045211   30847.070492   12300.909208
9.00              6.627252   28042.673352   11246.069706
9.25              6.405563   35031.098994   12029.613936
9.50              6.412644   47086.127711   13291.820102
9.75              6.872899   72039.968035   15682.924178
10.00             6.863592   95260.822167   17199.722588
